epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7528,1.33494,3.75541,1.25892,0.00329,0.9875,0.52525,0.33904,1.15782,3.63787,1.01305,0.000533333,0.000533333,0.000533333
2,83.7372,1.15316,2.78252,1.05473,0.00329,0.9875,0.49119,0.20256,1.41016,3.91534,1.22869,0.0011802,0.0011802,0.0011802
3,122.202,1.46765,2.50537,1.23302,0.00317,0.95,0.16969,0.06091,1.85498,4.41754,1.54447,0.00180507,0.00180507,0.00180507
4,160.616,1.52104,2.88719,1.31474,0.00296,0.8875,0.14664,0.06346,1.51042,4.1535,1.30983,0.001901,0.001901,0.001901
5,198.276,1.40108,2.32375,1.2023,0.00196,0.5875,0.00897,0.00188,2.43437,5.44986,2.07816,0.001868,0.001868,0.001868
6,236.249,1.36171,2.19848,1.16657,0.00208,0.625,0.0264,0.0111,2.41898,5.12388,2.60547,0.001835,0.001835,0.001835
7,274.29,1.17169,2.0367,1.13769,0.06836,0.075,0.02961,0.01045,1.86809,4.6884,2.58187,0.001802,0.001802,0.001802
8,311.029,1.11849,2.09326,1.09882,0.00823,0.1375,0.00328,0.0008,2.51728,34.6877,6.04495,0.001769,0.001769,0.001769
9,347.817,1.09453,1.96912,1.11455,0.00841,0.0625,0.00348,0.00068,2.59558,6.28428,4.87966,0.001736,0.001736,0.001736
10,385.238,1.08151,1.86942,1.06258,0.0076,0.1125,0.00388,0.00069,2.25329,6.4373,4.31832,0.001703,0.001703,0.001703
11,421.919,0.93815,1.48893,1.01236,0.02934,0.15,0.00949,0.00253,1.4553,4.451,1.61338,0.00167,0.00167,0.00167
12,458.39,0.90053,1.46162,1.00295,0.05658,0.1,0.01861,0.00423,1.30428,4.23824,1.34521,0.001637,0.001637,0.001637
13,495.831,0.96654,1.49496,1.01613,0.02274,0.1375,0.01058,0.0034,1.2396,5.44533,1.29117,0.001604,0.001604,0.001604
14,537.658,0.98229,1.41928,1.01358,0.01552,0.0375,0.00593,0.00271,1.24798,6.31073,1.32223,0.001571,0.001571,0.001571
15,584.004,0.96901,1.48035,1.03194,0.04855,0.125,0.0136,0.00418,1.17902,5.19048,1.26047,0.001538,0.001538,0.001538
16,629.828,0.90249,1.37174,0.98436,0.19962,0.2375,0.15567,0.0374,1.09737,4.35574,1.18933,0.001505,0.001505,0.001505
17,674.091,0.83565,1.23772,0.95983,0.71242,0.35,0.4727,0.36497,0.9963,2.95308,1.11488,0.001472,0.001472,0.001472
18,721.077,0.89536,1.29328,0.99483,0.88962,0.60455,0.74592,0.59139,0.92182,2.5459,1.0797,0.001439,0.001439,0.001439
19,767.766,0.85743,1.26948,0.993,0.96588,0.70784,0.79546,0.63672,0.89855,2.3923,1.05892,0.001406,0.001406,0.001406
20,811.824,0.77108,1.20569,0.93456,0.99758,0.75,0.84894,0.65928,0.91481,2.36966,1.05104,0.001373,0.001373,0.001373
21,856.43,0.81922,1.18767,0.96554,0.98382,0.75995,0.88054,0.67478,0.96801,2.02947,1.06945,0.00134,0.00134,0.00134
22,904.521,0.78997,1.17787,0.96178,0.94463,0.8125,0.9506,0.70253,0.95169,2.02837,1.04793,0.001307,0.001307,0.001307
23,949.694,0.74905,1.107,0.94404,0.95853,0.86685,0.96178,0.71773,0.93139,1.87495,1.02916,0.001274,0.001274,0.001274
24,998.43,0.73286,1.03125,0.91723,0.95393,0.8625,0.95518,0.71707,0.87712,1.68166,1.00532,0.001241,0.001241,0.001241
25,1049.68,0.77441,0.95383,0.92627,0.87412,0.86802,0.93084,0.68218,0.87059,1.47385,1.01059,0.001208,0.001208,0.001208
26,1108.94,0.71906,1.00657,0.9107,0.90881,0.8,0.90724,0.68033,0.85077,1.44332,1.00683,0.001175,0.001175,0.001175
27,1156.91,0.69841,1.00211,0.92403,0.87058,0.8,0.87614,0.68475,0.80105,1.41804,0.98445,0.001142,0.001142,0.001142
28,1208.18,0.75856,1.03893,0.94616,0.92434,0.7875,0.89087,0.71571,0.77581,1.36623,0.97971,0.001109,0.001109,0.001109
29,1259.2,0.6841,0.93983,0.88448,0.94892,0.8875,0.96215,0.7444,0.83991,1.26839,1.01961,0.001076,0.001076,0.001076
30,1308.32,0.73627,0.99031,0.93523,0.97242,0.925,0.97226,0.75558,0.8384,1.2157,1.01788,0.001043,0.001043,0.001043
31,1364.57,0.67561,0.90211,0.912,0.98633,0.90199,0.9745,0.7701,0.81224,1.1479,0.99936,0.00101,0.00101,0.00101
32,1411.18,0.70109,0.90741,0.92243,0.9817,0.875,0.96325,0.75657,0.8078,1.13621,0.99453,0.000977,0.000977,0.000977
33,1454.05,0.69653,0.88006,0.88162,0.95376,0.925,0.96916,0.7563,0.81593,1.10589,0.99585,0.000944,0.000944,0.000944
34,1495.83,0.70338,0.88565,0.92842,0.96201,0.94962,0.97902,0.74709,0.83603,1.10995,1.00185,0.000911,0.000911,0.000911
35,1538.21,0.71109,0.87985,0.90128,0.96235,0.95867,0.97252,0.75816,0.79739,1.07749,0.98402,0.000878,0.000878,0.000878
36,1577.24,0.65552,0.85985,0.90796,0.97488,0.97035,0.97404,0.77702,0.75315,1.04588,0.96633,0.000845,0.000845,0.000845
37,1616.1,0.63184,0.8838,0.9093,0.9623,0.95717,0.9796,0.7745,0.77614,0.9747,0.97969,0.000812,0.000812,0.000812
38,1655.43,0.61534,0.79871,0.90061,0.93858,0.925,0.9778,0.76625,0.81478,0.98466,0.99987,0.000779,0.000779,0.000779
39,1695.4,0.67703,0.84573,0.90629,0.93794,0.94463,0.97563,0.77003,0.78164,0.98081,0.98969,0.000746,0.000746,0.000746
40,1735.59,0.66133,0.84371,0.91821,0.94495,0.95,0.97614,0.78758,0.71948,0.95999,0.96433,0.000713,0.000713,0.000713
